"","seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"42","chr1",91182128,91185233,3106,"*",21,1.82671248206523e-77,1.51021759435384e-67,3.60737857853464e-11,1.96835469431049e-69,0.415397289621695,0.212197536760384,"BARHL2"
"43","chr16",12994998,12997684,2687,"*",20,5.36199354045591e-81,1.89167539341078e-71,2.18960082705103e-09,3.93732569487745e-69,0.376135510106707,0.231698349428297,"SHISA9"
"44","chr1",248020350,248021163,814,"*",10,6.85342163469487e-115,1.4676708842582e-68,6.80282285788935e-14,1.29664539783378e-68,0.413606629384405,0.311415068371679,"TRIM58"
"45","chr17",50234775,50237844,3070,"*",20,5.9800496153865e-75,3.14687076780804e-66,4.34116941174251e-11,1.28716087933445e-67,0.372267922888682,0.240835392569002,"CA10"
"46","chr1",229567560,229570665,3106,"*",22,6.7482421290217e-58,3.47730729176067e-69,1.33570901267017e-10,1.51345724634278e-67,0.316016178527351,0.206515889860735,"ACTA1"
"47","chr12",114840854,114844265,3412,"*",22,7.17586444591515e-51,9.09732101333859e-71,1.98957310187882e-11,2.39375635705314e-67,0.342694147179009,0.181744760797662,"TBX5"
"48","chr17",32482817,32484259,1443,"*",14,1.12544141270881e-108,1.0556302661197e-65,6.3478901643175e-15,3.28982664535873e-67,0.422597767386132,0.218733955710639,"ASIC2"
"49","chr5",63255045,63257941,2897,"*",19,2.79923425025864e-67,4.96348122214522e-70,2.93360284315365e-10,3.48478754805473e-67,0.331929096089795,0.203539857941343,"RP11-158J3.2, HTR1A"
"50","chr19",58545122,58545837,716,"*",8,2.96815063400359e-112,3.07073003620013e-69,4.10845201174353e-15,4.02877961031918e-67,0.421455040064344,0.31281509197861,"ZSCAN1"
"51","chr11",32447944,32452771,4828,"*",23,4.02810730164823e-40,6.76766578895475e-74,9.0190216801402e-07,6.75011392299379e-67,0.32261507176371,0.217696965888807,"WT1"
"52","chr5",3590482,3592718,2237,"*",12,3.34381811178607e-68,3.28761785085993e-69,1.11539231771843e-12,1.00193627788906e-66,0.368567305610487,0.244587810398533,NA
"53","chr2",176986026,176989349,3324,"*",19,7.99839792852019e-89,1.10239505537972e-63,2.58528749240756e-11,1.59407403741938e-66,0.507714262833642,0.245982198842183,"HOXD9, HOXD-AS2"
"54","chr7",19183231,19185267,2037,"*",16,2.68369222391749e-82,3.91731595001815e-69,1.99786852298887e-12,2.06155105730383e-66,0.386300393043418,0.245866768766412,"AC003986.5, FERD3L"
"55","chr4",165304443,165305815,1373,"*",14,1.7758884385771e-106,4.68202330949624e-65,7.20072277150213e-10,6.0559335175417e-66,0.324381783043626,0.216082147359434,"MARCH1"
"56","chr4",21949853,21951046,1194,"*",10,2.09188468591927e-111,1.00441017213278e-65,4.47971112811795e-15,7.27469395877038e-66,0.405451213230676,0.260452255044459,"RP11-17E2.2, KCNIP4"
"57","chr7",49813031,49815751,2721,"*",16,2.21618471737894e-72,1.15895956455426e-61,9.20892283765278e-10,1.66654985056386e-65,0.396650789834116,0.268346090710299,"VWC2"
"58","chr6",28602543,28603779,1237,"*",35,2.51642114093519e-92,2.6439979591963e-74,9.04385997713369e-05,5.31146615731568e-65,0.345681002550316,0.169660371314683,NA
"59","chr18",76737392,76741157,3766,"*",17,1.76749359980589e-64,6.58245727151327e-70,1.0053072584352e-07,1.93361785768519e-64,0.273539504963541,0.205586028345808,"SALL3, RP11-849I19.1"
"60","chr18",74960652,74963364,2713,"*",23,1.7505569773708e-93,1.93052928320494e-60,1.61681072852157e-10,2.58034139378733e-63,0.377642073755369,0.177079939026622,"GALR1"
"61","chr5",170735186,170738274,3089,"*",17,1.08616288890008e-77,5.98919100888415e-64,9.3606293878241e-12,9.64041030283238e-63,0.378665892906201,0.217614951392278,"TLX3"
"62","chr10",106398816,106402507,3692,"*",15,2.12715060512389e-52,5.15832176962761e-66,6.91187367583815e-10,1.23120224896425e-62,0.336779086343768,0.220163090340883,"SORCS3"
"63","chr5",5139458,5140935,1478,"*",13,6.35652727773596e-92,7.15635764682762e-67,3.85900240078982e-09,1.54836140625027e-62,0.525539591195482,0.286721978257356,"ADAMTS16, CTD-2297D10.2"
"64","chr7",96649956,96653183,3228,"*",24,9.45237285362755e-64,1.74440990518142e-63,1.11291624011493e-11,4.09036987899633e-62,0.385113321129845,0.219588974994832,"DLX5"
"65","chr7",136553088,136556271,3184,"*",17,4.90675189476234e-65,6.50824140549643e-64,5.08157761225446e-10,6.08228398604063e-62,0.339684352450395,0.206799239821559,"CHRM2, hsa-mir-490"
"66","chr13",112708288,112712795,4508,"*",15,5.26253039954369e-55,9.74456485914546e-64,1.16018844219609e-13,1.17354161725916e-61,0.450390975888355,0.254899229008855,NA
"67","chr16",67694044,67697020,2977,"*",27,2.20984274068755e-74,9.81659595076163e-61,2.35720362963469e-06,1.82611416260847e-61,0.219982664958163,0.0872037570626388,"PARD6A, ACD, ENKD1"
"68","chr1",27188505,27191251,2747,"*",15,1.79485947159933e-85,3.67954611166189e-60,1.68668355267403e-11,1.9706893263558e-61,-0.355858579189956,-0.207314527098705,"SFN"
"69","chr5",155107529,155109505,1977,"*",10,7.75101030805092e-70,6.54179250979586e-64,4.14195077324543e-12,1.99896874430296e-61,0.380248742744639,0.264506474822815,NA
"70","chr6",32935592,32941389,5798,"*",102,4.6857373425795e-60,1.41550069876005e-58,0.000157338691103233,2.25430047301781e-61,0.0285335579246194,0.00603308451167596,"BRD2, BRD2-IT1, HLA-DMA, XXbac-BPG181M17.6"
"71","chr5",134870506,134872649,2144,"*",26,9.59922992102512e-79,6.38238260196388e-67,3.42587733206779e-07,6.47318662327224e-61,0.354974050397925,0.207647117009961,"NEUROG1"
"72","chr1",25256939,25259106,2168,"*",27,1.27268157816769e-88,3.02918868199314e-65,2.29056934811344e-06,6.74292797783642e-61,0.274828342816877,0.182736133620466,"RUNX3"
"73","chr4",188916496,188918072,1577,"*",14,5.72609180789027e-86,1.31899501512542e-64,8.2453681438929e-08,3.65239123592602e-60,0.369711765122242,0.274155671453253,"ZFP42"
"74","chr14",29234890,29237480,2591,"*",25,1.01846481446802e-76,4.57609116847546e-59,1.35288966582651e-08,2.28572334050748e-59,0.371037130197002,0.19421383792646,"FOXG1"
"75","chr6",33167386,33173137,5752,"*",83,4.73399666179424e-42,1.41174926329768e-57,0.00034926027832341,3.85380022877418e-59,0.153073660510982,0.0339918782218269,"RNY4P10, SLC39A7, HSD17B8, RXRB"
"76","chr19",34112111,34114285,2175,"*",14,1.44700729111454e-76,1.56339098657937e-58,8.3853309921353e-09,5.14498007522051e-59,0.404002883412392,0.264603380559594,"CHST8"
"77","chr6",30130226,30132226,2001,"*",24,3.83057967609139e-89,3.32684560010268e-47,2.56914412205523e-09,7.43045016432999e-59,-0.442411772170433,-0.185045100077608,"TRIM15"
"78","chr13",112758379,112761844,3466,"*",18,1.73783523348293e-53,1.99096075168085e-61,1.7055801026028e-10,1.33162155539249e-58,0.379036127208744,0.211737187491591,"LINC00403, LINC00404"
"79","chr11",2160129,2162930,2802,"*",48,1.61549284622373e-75,1.28083709426462e-65,0.000157364071703197,1.874520264058e-58,0.30289311677222,0.160237537460204,"IGF2-AS, IGF2, INS-IGF2"
"80","chr2",177014009,177017797,3789,"*",27,2.17155198559964e-44,5.9702804205853e-65,3.4995061796426e-06,4.58621256642337e-58,0.290300661992933,0.19227077139329,"HOXD3, MIR10B, HOXD4"
"81","chr4",5891833,5895410,3578,"*",11,2.19794816141962e-62,5.70036670365788e-53,4.98713457701029e-15,7.7724824495543e-58,0.502552092809664,0.245606652106941,"CRMP1"
"82","chr10",22633916,22635028,1113,"*",14,3.88517977736405e-94,3.23936273483523e-54,1.48933739700778e-13,1.21325764483115e-57,0.34717390895571,0.225025388055235,"SPAG6"
"83","chr20",62366755,62368956,2202,"*",11,8.43286674166203e-96,6.58898482136464e-52,3.17891638610914e-10,1.27727806337288e-57,-0.474821878822321,-0.272151819321517,"ZGPAT, RP4-583P15.15, LIME1"
"84","chr11",131779583,131781257,1675,"*",19,1.02069742786091e-85,1.43032681327103e-51,1.97027189623217e-10,1.80837307720223e-57,0.499112839776081,0.101132230312562,"NTM"
"85","chr6",133561614,133563382,1769,"*",32,1.25270789669507e-89,9.4355014284973e-61,2.60543957010155e-05,1.87668201801292e-57,0.286502055965764,0.185106559944364,"EYA4"
"86","chr4",134068777,134072931,4155,"*",18,4.97823661276762e-52,1.33639225999664e-61,6.40641173392501e-08,3.23865484708752e-57,0.329906476865388,0.214112988443591,"PCDH10, RP11-9G1.3"
"87","chr6",32115964,32119041,3078,"*",50,2.8888783584844e-59,1.82139720571919e-59,0.000720895224820326,1.14513697088987e-56,0.341055502522541,0.137166462582024,"PRRT1"
"88","chr7",35293080,35294949,1870,"*",14,4.11644127505564e-83,2.60032058359356e-57,8.10551709797244e-10,2.51308595336378e-56,0.429925966025615,0.226239267626243,"TBX20"
"89","chr18",904523,909154,4632,"*",21,1.21360960166153e-48,2.56067200143143e-61,5.15476157434356e-07,2.59004317308378e-56,0.291899002644596,0.204221364629479,"ADCYAP1, RP11-672L10.3, RP11-672L10.2"
"90","chr11",2889602,2891495,1894,"*",39,1.71605856715852e-80,3.49181935017976e-54,7.19912382849538e-07,3.37826683153009e-56,0.341877569983224,0.0797585476585263,"KCNQ1DN"
"91","chr19",30017511,30021276,3766,"*",11,1.31955081929904e-43,5.77175885065808e-56,1.16457365333842e-13,3.69350509584015e-56,0.410304592273025,0.265192704180823,"VSTM2B, CTC-525D6.2"
"92","chr8",145024637,145028461,3825,"*",26,4.16263045259833e-53,1.03295362508642e-59,1.18424774741575e-06,4.5170009770225e-56,-0.367196070304997,-0.0851561512629002,"PLEC"
"93","chr4",13536409,13541444,5036,"*",22,4.19156357901235e-37,1.59075653252746e-61,1.757124769945e-05,8.57442731959868e-56,0.319532038263927,0.189870205820318,NA
"94","chr11",109292465,109294233,1769,"*",15,8.07353666574955e-74,3.53151473010612e-52,4.70809293260596e-13,2.38025870154878e-55,0.335664679186776,0.206673832690182,"C11orf87, RP11-708B6.2"
"95","chr7",43151828,43153950,2123,"*",15,7.21972258370088e-86,9.61079137013973e-56,6.80131291075646e-15,2.485654180301e-55,0.341112369648024,0.211691619193136,"HECW1"
"96","chr15",88798331,88801474,3144,"*",19,7.53950613990838e-49,1.92873335957268e-57,2.59954103872446e-07,8.56739627773855e-55,0.356142363171138,0.191418304184784,"NTRK3-AS1, NTRK3"
"97","chr5",3599090,3603280,4191,"*",11,6.23650244950174e-50,7.90363907055882e-56,1.70814463189631e-10,9.90331182280802e-55,0.348250314214493,0.218861880618793,"IRX1, CTD-2012M11.3"
"98","chr3",10857688,10858504,817,"*",12,2.79381664032765e-86,1.69967020933784e-55,6.42460700310757e-09,1.02365088079134e-54,0.31187085862875,0.235198187164125,"SLC6A11"
"99","chr19",9473058,9474128,1071,"*",12,2.68450447513433e-83,2.39634332990516e-57,2.60767579171571e-08,2.69989146118985e-54,0.444775850372229,0.25464325890298,"ZNF559-ZNF177, ZNF177"
"100","chr13",112715454,112717707,2254,"*",9,5.81768106035937e-78,1.37480656378403e-54,1.50080444282514e-17,3.29960410620221e-54,0.353851671250736,0.247323629772503,NA
"101","chr2",5831147,5834062,2916,"*",11,4.96860940444139e-45,1.16862964316764e-55,3.45537033071315e-12,3.92343846051028e-54,0.417634142461963,0.239766722218023,"SOX11, AC107057.2, AC108025.2"
"102","chr19",37095466,37096816,1351,"*",11,1.04239093867006e-87,1.05951108085966e-53,1.5307041653264e-14,5.76734930557883e-54,0.440196219934839,0.267160021129002,"ZNF382, ZNF529"
"103","chr1",37498270,37500790,2521,"*",12,2.67918784474133e-64,6.25411879950683e-54,1.16791314675914e-09,9.21013521485981e-54,0.324161816357557,0.229770804633079,"GRIK3"
"104","chr18",11147785,11150043,2259,"*",14,1.35145576231365e-84,2.50640594127199e-52,3.30212205784698e-13,2.30883252143482e-53,0.395185942122933,0.242213533100463,"PIEZO2"
"105","chr5",178421711,178423163,1453,"*",7,2.12000088734691e-101,3.39339389671528e-48,2.24552892253077e-16,2.89797259748232e-53,0.468249303612967,0.299999203578899,"GRM6"
"106","chr8",65289227,65292498,3272,"*",19,7.82868262073042e-53,1.41148120000737e-55,3.10218241443574e-08,4.73463137966475e-53,0.441705163034643,0.229412354830132,"LINC00966, MIR124-2"
"107","chr18",12253828,12254690,863,"*",16,9.90338022317298e-79,4.28621340026221e-57,5.23624988723629e-08,5.84580801390341e-53,0.321816165567095,0.209465331288733,"CIDEA"
"108","chr12",130645000,130648519,3520,"*",15,1.28340701232945e-47,8.0399139905108e-52,7.10335968035195e-08,1.45604121623072e-52,0.318977399269823,0.217002387710699,"FZD10, FZD10-AS1"
"109","chr12",103349994,103353183,3190,"*",17,2.67564764141422e-63,1.24332406597118e-49,6.50656627655637e-09,2.12040368222567e-52,0.32087043273401,0.185566224098591,"ASCL1, PAH"
"110","chr2",5835853,5837929,2077,"*",11,5.53508539816008e-89,1.47304629457706e-48,2.7423440674793e-12,2.20572920861076e-52,0.428716176916243,0.236998324855998,"SOX11, AC010729.1"
"111","chr11",44331362,44333192,1831,"*",36,3.54992867013844e-70,1.46051151442923e-54,6.06866140973852e-05,2.40815792849558e-52,0.321064872823138,0.145121575015175,"ALX4"
"112","chr3",2139690,2142141,2452,"*",12,1.18756639240511e-81,5.02900642375085e-47,2.87954266206951e-14,5.85944415456606e-52,0.423708576885198,0.199154322585901,"CNTN4"
"113","chr2",176947228,176950843,3616,"*",22,7.18591126308065e-58,1.30562023266966e-55,2.68659936161859e-07,6.16520626946409e-52,0.348702815699394,0.202101679815233,"EVX2"
"114","chr20",61808126,61810795,2670,"*",16,8.16328011306169e-68,6.48026262069256e-54,3.8912619246591e-09,8.15115260505016e-52,0.329477259237914,0.211198537135487,"MIR124-3, RP5-963E22.4"
"115","chr5",33936232,33938225,1994,"*",17,1.44234976853522e-68,4.90036663763708e-54,3.05601114589159e-07,1.6941237742958e-51,0.267145361924759,0.186709789327616,"RXFP3"
"116","chr15",26107658,26109614,1957,"*",23,1.20307405575528e-69,2.30225904557224e-56,4.20351640220738e-06,4.96706955240479e-51,0.267450527352331,0.161556423346832,"ATP10A"
"117","chr1",3566304,3568245,1942,"*",33,3.48922821684052e-87,1.61736908494153e-46,1.09884139762059e-06,7.06343163725257e-51,0.344472555190392,0.113766245313209,"WRAP73"
"118","chr14",57274900,57279496,4597,"*",23,8.6676009517656e-40,1.75809208476272e-52,5.61854812259577e-06,8.78269214420381e-51,0.429435725300447,0.221649270561411,"OTX2"
"119","chr8",65281397,65284519,3123,"*",15,1.33827080853622e-50,2.86338672523861e-50,1.54133952451417e-11,9.57765577740452e-51,0.383589208798514,0.233181733026606,NA
"120","chr10",135049598,135052004,2407,"*",40,5.33837421820855e-72,2.38127893830796e-48,3.90871037600034e-07,1.34597639100331e-50,0.287029996276759,0.118055157782266,"VENTX"
"121","chr6",30686902,30690844,3943,"*",50,1.59665301741633e-41,6.91823731500917e-39,1.1386626796025e-05,1.78906145424235e-50,-0.290366047446274,-0.0310898526455283,"TUBB"
"122","chr1",91190005,91192803,2799,"*",22,1.94219376205052e-52,4.67566279837242e-45,4.7408148081847e-08,2.22846925104995e-50,0.349384887280147,0.165918395948094,NA
"123","chr13",37247537,37249481,1945,"*",11,6.36395434502512e-90,8.05990733600495e-46,4.94422158741566e-15,2.49532257789778e-50,0.45238345388359,0.231129552628904,"SERTM1"
"124","chr2",107502023,107504169,2147,"*",14,6.50797002020911e-67,2.9320419162574e-52,2.23696206881403e-11,3.09331869697727e-50,0.374255600388756,0.244136426703711,"ST6GAL2"
"125","chr8",35092687,35094053,1367,"*",7,1.55388435678608e-75,6.86266430380772e-53,4.06234306289214e-11,3.44604709441118e-50,0.385927497363991,0.30481942871398,"UNC5D"
"126","chr7",153749206,153750421,1216,"*",7,2.77812811111857e-80,6.13686297764001e-51,5.1549288371531e-14,3.84281286338364e-50,0.336480615779158,0.25245676807127,"DPP6"
"127","chr6",32063501,32065702,2202,"*",52,3.20853931035571e-83,5.76186915872198e-50,0.00103034823375254,5.27026262539938e-50,0.333254462621424,0.147437538605676,"TNXB"
"128","chr10",118896776,118900001,3226,"*",16,2.18014929053969e-47,4.55387950502191e-49,1.03246943941942e-10,5.31383025089023e-50,0.314184697758987,0.221373031301202,"VAX1"
"129","chr1",79471984,79472917,934,"*",11,4.97619073242421e-82,2.79012461294497e-47,2.95567346497695e-11,5.4071415972169e-50,0.450851733954,0.23985288061183,"ELTD1"
"130","chr12",5018229,5020202,1974,"*",17,7.84862230532441e-66,5.6472203768749e-53,2.14457528326879e-06,9.63266660400991e-50,0.301738651906151,0.199382070739579,"KCNA1"
"131","chr12",114877063,114879154,2092,"*",12,8.04770683034443e-59,5.73069414373938e-51,1.96866994920845e-09,2.53877001146087e-49,0.297191570744144,0.204391222364529,NA
"132","chr4",1396593,1402198,5606,"*",16,7.55883167097391e-32,2.14174026254417e-50,5.0282362159526e-08,3.87634721814058e-49,0.444955163455628,0.195964119616813,"NKX1-1"
"133","chr6",30651511,30655617,4107,"*",54,2.29308211567658e-38,8.42572435437075e-51,0.00023342540327688,4.02620341864371e-49,-0.375011714279423,-0.102411036725115,"PPP1R18"
"134","chr6",31125475,31127863,2389,"*",29,1.74127494418322e-64,1.08874130039259e-46,1.57361855787291e-05,4.75739659233791e-49,-0.340502854552943,-0.0634800598857891,"TCF19, CCHCR1"
"135","chr10",18429037,18430412,1376,"*",10,5.77468515557605e-72,1.98073450543492e-52,7.3339614957728e-09,5.52253297508922e-49,0.342511094636349,0.260151874125846,"CACNB2"
"136","chr18",70534110,70536461,2352,"*",8,1.70985171455534e-60,1.20566198391208e-49,4.11853232265286e-14,7.90556402499468e-49,0.354467208264062,0.255237619452447,"RP11-676J15.1, NETO1"
"137","chr12",4917740,4919591,1852,"*",10,4.51976965513738e-72,4.23287255967227e-44,9.3810272890099e-13,1.15762262323255e-48,0.387719280406715,0.245560992380671,"GALNT8, KCNA6, RP11-234B24.4"
"138","chr10",125425583,125426598,1016,"*",7,3.31457643780124e-79,5.29578248115895e-49,3.62812618034514e-14,1.2822437178505e-48,0.340144431486395,0.257647497485101,"GPR26"
"139","chr6",31696063,31698899,2837,"*",61,3.69500134813077e-51,2.79863771365726e-47,0.000332805550899869,1.82726689974126e-48,-0.267081846051702,-0.00749004840325451,"DDAH2, CLIC1"
"140","chr2",176963315,176965435,2121,"*",14,1.41694720940576e-71,2.25346864059243e-46,1.02772620290758e-12,3.41908932051821e-48,0.359176662359068,0.195162341197307,"HOXD12"
"141","chr1",75599667,75602925,3259,"*",16,1.98759319973607e-44,1.4828116449082e-49,1.02978820543825e-10,5.82016704089029e-48,0.400962736981089,0.201810845556385,"LHX8"
"142","chr2",176980837,176982342,1506,"*",12,8.27259759531891e-67,1.54845564095492e-46,7.10412330977246e-10,6.78340286848201e-48,0.376273574088774,0.23307935445558,"HOXD10"
"143","chr4",4866047,4869172,3126,"*",21,1.26690181330353e-40,2.1817110215532e-53,2.86829174521815e-05,7.1663813513103e-48,0.327674537280642,0.202368017503958,NA
"144","chr11",31824262,31828040,3779,"*",20,3.45165646576224e-39,2.71107223018473e-50,1.10706769649092e-06,7.86252361962432e-48,0.36660427924121,0.221638478065073,"PAX6"
"145","chr8",55370192,55372392,2201,"*",14,8.53935085748866e-60,3.29830313153606e-50,1.24086996534468e-09,2.11232221569874e-47,0.338706419966629,0.228013440118316,"SOX17"
